section|subsection|polity_name|polity_new_ID|polity_old_ID|variable_name|value_from|value_to|year_from|year_to|confidence|is_disputed|is_uncertain|expert_checked
General Variables|Identity and Location|La Tene B2-C1|fr_la_tene_b2_c1|FrTeneB|alternative_name|Iron Age Gaul||||Confident|False|False|True
General Variables|Identity and Location|La Tene B2-C1|fr_la_tene_b2_c1|FrTeneB|alternative_name|Celtic Empire||||Confident|False|False|True
General Variables|Identity and Location|La Tene B2-C1|fr_la_tene_b2_c1|FrTeneB|alternative_name|La Tene||||Confident|False|False|True
General Variables|Identity and Location|La Tene B2-C1|fr_la_tene_b2_c1|FrTeneB|alternative_name|La Tene culture||||Confident|False|False|True
General Variables|Identity and Location|La Tene B2-C1|fr_la_tene_b2_c1|FrTeneB|alternative_name|Galli||||Confident|False|False|True
General Variables|Identity and Location|La Tene C2-D|fr_la_tene_c2_d|FrTeneC|alternative_name|Late La Tene||||Confident|False|False|True
General Variables|Identity and Location|La Tene C2-D|fr_la_tene_c2_d|FrTeneC|alternative_name|La Tene Gaul||||Confident|False|False|True
General Variables|Identity and Location|Medang Kingdom|id_medang_k|IdMedng|alternative_name|Mataram Kingdom||||Confident|False|False|True
General Variables|Identity and Location|Chalukyas of Badami|in_badami_chalukya_emp|InChaBd|alternative_name|Badami Dynasty||||Confident|False|False|True
General Variables|Identity and Location|Chalukyas of Kalyani|in_kalyani_chalukya_emp|InChaKl|alternative_name|Calukya Empire||||Confident|False|False|True
General Variables|Identity and Location|Chalukyas of Kalyani|in_kalyani_chalukya_emp|InChaKl|alternative_name|Kalyani Dynasty||||Confident|False|False|True
General Variables|Identity and Location|Deccan - Neolithic|in_deccan_nl|InDecNL|alternative_name|Ashmound Tradition||||Confident|False|False|True
General Variables|Identity and Location|Early A'chik|in_achik_1|InGaroE|alternative_name|Early Garo||||Confident|False|False|True
General Variables|Identity and Location|Late A'chik|in_achik_2|InGaroL|alternative_name|Late Garo||||Confident|False|False|True
General Variables|Identity and Location|Pre-Ceramic Period|ir_susiana_pre_ceramic|IrPrCer|alternative_name|Bus Mordeh||||Confident|False|False|True
General Variables|Identity and Location|Sasanid Empire I|ir_sassanid_emp_1|IrSasn1|alternative_name|Iranshahr||||Confident|False|False|True
General Variables|Identity and Location|Magadha - Maurya Empire|in_mauryan_emp|InMaury|alternative_name|Maurya Empire||||Confident|False|False|True
General Variables|Identity and Location|Mughal Empire|in_mughal_emp|InMugl*|alternative_name|Mogul Empire||||Confident|False|False|True
General Variables|Identity and Location|Vakataka Kingdom|in_vakataka_k|InVakat|alternative_name|Vakataka Dynasty||||Confident|False|False|True
General Variables|Identity and Location|Abbasid Caliphate II|iq_abbasid_cal_2|IqAbbs2|alternative_name|Abbasid Caliphate||||Confident|False|False|True
General Variables|Identity and Location|Isin-Larsa|iq_isin_larsa|IqIsinL|alternative_name|Old Babylonian Period||||Confident|False|False|True
General Variables|Identity and Location|Elymais II|ir_elymais_2|IrElym2|alternative_name|Elymean State||||Confident|False|False|True
General Variables|Identity and Location|Elymais II|ir_elymais_2|IrElym2|alternative_name|Middle Parthian Period||||Confident|False|False|True
